,Question,Answer
34,"5. The ALU of a computer normally contains a number of high speed storage element called
a) Semiconductor memory
b) Registers
c) Hard disks
d) Magnetic disk
View Answer","Answer: b
Explanation: External control unit tells the ALU what operation to perform on that data, and then the ALU stores its result into an output register."
35,"6. Which of the following is used only for data entry and storage, and never for processing?
a) Mouse
b) Dumb terminal
c) Micro computer
d) Dedicated data entry system
View Answer","Answer: b
Explanation: Dumb terminals are those that can interpret a limited number of control codes."
36,"7. Non-volatile storage needs to have a _________ where the loses in future can be recovered.
a) Dump
b) Recover place
c) Disk
d) Redo plan
View Answer","Answer: a
Explanation: The basic scheme is to dump the entire contents of the database to stable storage periodically—say, once per day."
37,"8. A dump of the database contents is also referred to as an _____________ dump.
a) Archival
b) Fuzzy
c) SQL
d) All of the mentioned
View Answer","Answer: a
Explanation: We can archive the dumps and use them later to examine old states of the database."
38,"9. ________ dump, writes out SQL DDL statements and SQL insert statements to a file, which can then be reexecuted to re-create the database.
a) Archival
b) Fuzzy
c) SQL
d) All of the mentioned
View Answer","Answer: c
Explanation: Such dumps are useful when migrating data to a different instance of the database, or to a different version of the database software, since the physical locations and layout may be different in the other database instance or database software version."
39,"10. _________ dump schemes have been developed that allow transactions to be active while the dump is in progress.
a) Archival
b) Fuzzy
c) SQL
d) All of the mentioned
View AnswerSanfoundry Global Education & Learning Series – Database Management System.","Answer: b
Explanation: The simple dump procedure described here is costly and so fuzzy dump is used."
40,"1. ARIES uses a ___________ to identify log records, and stores it in database pages.
a) Log sequence number
b) Log number
c) Lock number
d) Sequence
View Answer","Answer: b
Explanation: LSN is used to identify which operations have been applied to a database page."
41,"2. ARIES supports ___________ operations, which are physical in that the affected page is physically identified, but can be logical within the page.
a) Physiological redo
b) Physiological undo
c) Logical redo
d) Logical undo
View Answer","Answer: a
Explanation: The deletion of a record from a page may result in many other records in the page being shifted, if a slotted page structure is used."
42,"3. ______________ is used to minimize unnecessary redos during recovery.
a) Dirty page table
b) Page table
c) Dirty redo
d) All of the mentioned
View Answer","Answer: a
Explanation: Dirty pages are those that have been updated in memory, and the disk version is not up-to-date."
43,"4. __________ scheme that records only information about dirty pages and associated information and does not even require of writing dirty pages to disk.
a) Fuzzy logic
b) Checkpoints
c) Fuzzy-checkpoint
d) Logical checkpoint
View Answer","Answer: c
Explanation: It flushes dirty pages in the background, continuously, instead of writing them during checkpoints."
44,"5. Whenever an update operation occurs on a page, the operation stores the LSN of its log record in the _______ field of the page.
a) LSN
b) ReadLSN
c) PageLSN
d) RedoLSN
View Answer","Answer: c
Explanation: Each page maintains an identifier called the PageLSN."
45,"6. There are special redo-only log records generated during transaction rollback, called _________ in ARIES.
a) Compensation log records
b) Read log records
c) Page log records
d) Redo log records
View Answer","Answer: a
Explanation: These serve the same purpose as the redo-only log records in our earlier recovery scheme."
46,"7. The __________________ contains a list of pages that have been updated in the database buffer.
a) Dirty page table
b) Page table
c) Dirty redo
d) All of the mentioned
View Answer","Answer: a
Explanation: Dirty pages are those that have been updated in memory, and the disk version is not up-to-date."
47,"8. ___________ determines which transactions to undo, which pages were dirty at the time of the crash, and the LSN from which the redo pass should start.
a) Analysis pass
b) Redo pass
c) Undo pass
d) None of the mentioned
View Answer","Answer: a
Explanation: The analysis pass finds the last complete checkpoint log record, and reads in the DirtyPageTable from this record."
48,"9. __________ starts from a position determined during analysis, and performs a redo, repeating history, to bring the database to a state it was in before the crash.
a) Analysis pass
b) Redo pass
c) Undo pass
d) None of the mentioned
View Answer","Answer: b
Explanation: The redo pass repeats history by replaying every action that is not already reflected in the page on disk."
49,"10. ______________ rolls back all transactions that were incomplete at the time of crash.
a) Analysis pass
b) Redo pass
c) Undo pass
d) None of the mentioned
View AnswerSanfoundry Global Education & Learning Series – Database Management System.","Answer: c
Explanation: It performs a single backward scan of the log, undoing all transactions in undo-list."
50,"1. Which lock should be obtained to prevent a concurrent transaction from executing a conflicting read, insert or delete operation on the same key value.
a) Higher-level lock
b) Lower-level lock
c) Read only lock
d) Read write
View Answer","Answer: a
Explanation: Operations acquire lower-level locks while they execute, but release them when they complete; the corresponding transaction must however retain a higher-level lock in a two-phase manner to prevent concurrent transactions from executing conflicting actions."
51,"2. Once the lower-level lock is released, the operation cannot be undone by using the old values of updated data items, and must instead be undone by executing a compensating operation; such an operation is called
a) Logical operation
b) Redo operation
c) Logical undo operation
d) Undo operation
View Answer","Answer: a
Explanation: It is important that the lower-level locks acquired during an operation are sufficient to perform a subsequent logical undo of the operation."
52,"3. Which of the following is used for undo operations alone?
a) Logical logging
b) Physical logging
c) Physical log records
d) Physical logging and Physical log records
View Answer","Answer: a
Explanation: If the operation inserted an entry in a B+-tree, the undo information U would indicate that a deletion operation is to be performed, and would identify the B+-tree and what entry to delete from the tree. Such logging of information about operations is called logical logging."
53,"4. Redo operations are performed exclusively using
a) Logical logging
b) Physical logging
c) Physical log records
d) Both Physical logging and Physical log records
View Answer","Answer: d
Explanation: Logging of old-value and new-value information is called physical logging."
54,"5. To perform logical redo or undo, the database state on disk must be operation ___________ that is, it should not have partial effects of any operation.
a) Persistent
b) Resistant
c) Consistent
d) None of the mentioned
View Answer","Answer: c
Explanation: Data structures such as B+-trees would not be in a consistent state, and neither logical redo nor logical undo operations can be performed on an inconsistent data structure."
55,"6. An operation is said to be __________ if executing it several times in a row gives the same result as executing it once.
a) Idempotent
b) Changed
c) Repetitive
d) All of the above
View Answer","Answer: a
Explanation: Operations such as inserting an entry into a B+-tree may not be idempotent, and the recovery algorithm must therefore make sure that an operation that has already been performed is not performed again."
56,"7. Immediate database modification technique uses
a) Both undo and redo
b) Undo but no redo
c) Redo but no undo
d) Neither undo nor redo
View Answer","Answer: a
Explanation: Undo erases all the changes and redo makes the deleted changes."
57,"8. Shadow paging has
a) no redo
b) no undo
c) redo but no undo
d) neither redo nor undo
View Answer","Answer: a
Explanation: Undo erases all the changes and redo makes the deleted changes."
58,"9. For correct behaviour during recovery, undo and redo operation must be
a) Commutative
b) Associative
c) Idempotent
d) Distributive
View Answer","Answer: c
Explanation: Undo erases all the changes and redo makes the deleted changes."
59,"10. If ___________ are not obtained in undo operation it will cause problem in undo-phase.
a) Higher-level lock
b) Lower-level lock
c) Read only lock
d) Read write
View Answer","Answer: b
Explanation: Operations acquire lower-level locks while they execute, but release them when they complete; the corresponding transaction must however retain a higher-level lock in a two-phase manner to prevent concurrent transactions from executing conflicting actions."
60,"1. The remote backup site is sometimes also called the
a) Primary Site
b) Secondary Site
c) Tertiary Site
d) None of the mentioned
View Answer","Answer: b
Explanation: We can achieve high availability by performing transaction processing at one site, called the primary site, and having a remote backup site where all the data from the primary site are replicated."
61,"2. Remote backup system must be _________ with the primary site.
a) Synchronised
b) Separated
c) Connected
d) Detached but related
View Answer","Answer: a
Explanation: We can achieve high availability by performing transaction processing at one site, called the primary site, and having a remote backup site where all the data from the primary site are replicated."
62,"3. The backup is taken by
a) Erasing all previous records
b) Entering the new records
c) Sending all log records from primary site to the remote backup site
d) Sending selected records from primary site to the remote backup site
View Answer","Answer: c
Explanation: We can achieve high availability by performing transaction processing at one site, called the primary site, and having a remote backup site where all the data from the primary site are replicated."
63,"4. When the __________ the backup site takes over processing and becomes the primary.
a) Secondary fails
b) Backup recovers
c) Primary fails
d) None of the mentioned
View Answer","Answer: c
Explanation: When the original primary site recovers, it can either play the role of remote backup, or take over the role of primary site again."
64,"5. The simplest way of transferring control is for the old primary to receive __________ from the old backup site.
a) Undo logs
b) Redo Logs
c) Primary Logs
d) All of the mentioned
View Answer","Answer: c
Explanation: If control must be transferred back, the old backup site can pretend to have failed, resulting in the old primary taking over."
65,"6. The time to process the remote backup can be reduced by
a) Flags
b) Breakpoints
c) Redo points
d) Checkpoints
View Answer","Answer: d
Explanation: If the log at the remote backup grows large, recovery will take a long time. The remote backup site can periodically process the redo log records that it has received and can perform a checkpoint, so that earlier parts of the log can be deleted."
66,"7. A _______________ configuration can make takeover by the backup site almost instantaneous.
a) Hot-spare
b) Remote
c) Direct
d) Spare
View Answer","Answer: d
Explanation: In this configuration, the remote backup site continually processes redo log records as they arrive, applying the updates locally."
67,"8. A transaction commits as soon as its commit log record is written to stable storage at the primary site. This is
a) One Safe
b) Two Safe
c) Two-very Safe
d) Very Safe
View Answer","Answer: a
Explanation: The problem with this scheme is that the updates of a committed transaction may not have made it to the backup site, when the backup site takes over processing."
68,"9. A transaction commits as soon as its commit log record is written to stable storage at the primary and the backup site. This is
a) One Safe
b) Two Safe
c) Two-very Safe
d) Very Safe
View Answer","Answer: c
Explanation: The problem with this scheme is that transaction processing cannot proceed if either the primary or the backup site is down."
69,"10. If only the primary is active, the transaction is allowed to commit as soon as its commit log record is written to stable storage at the primary site. This is
a) One Safe
b) Two Safe
c) Two-very Safe
d) Very Safe
View AnswerSanfoundry Global Education & Learning Series – Database Management System.","Answer: b
Explanation: This scheme provides better availability than does two-very-safe, while avoiding the problem of lost transactions faced by the one-safe scheme."
