Question,Answer
"6. The query ‘SELECT NOW()’ shows the current _____________
a) table
b) time only
c) date only
d) date and time
View Answer","Answer: d
Explanation: SELECT NOW() is an SQL query. It shows both the current date and the current time. It is generally displayed in the format ‘yyyy-mm-dd hh-mm-ss’. For example, 2009-04-21 11-51-36."
"7. Suppose you want to select a database named ‘sampledb’ as the default database. Which of the following commands do you use?
a) SELECT DATABASE()
b) SELECT DATABASE sampledb
c) USE DATABASE sampledb
d) USE sampledb
View Answer","Answer: d
Explanation: ‘USE sampledb’ selects sampledb as the default database. Initially, ‘SELECT DATABASE();’ command displays ‘NULL’, since no database is selected by default. The other two are not valid commands."
"8. What does ‘abc’ & ‘xyz’ specify in the following SQL statement?a) table name and column specs
b) column specs and table name
c) table name and number of columns
d) table name and number of rows
View Answer","Answer: a
Explanation: The ‘CREATE TABLE’ construct’s syntax is ‘CREATE TABLE tbl_name (column_specs)’. ‘tbl_name’ indicates the table name. ‘column_specs’ provides the specifications of the table attributes."
"9. To see the table structure, which of the following SQL commands is issued?
a) DESCRIBE tbl_name
b) VIEW tbl_name
c) SELECT TABLE tbl_name
d) SELECT tbl_name
View Answer","Answer: a
Explanation: The ‘DESCRIBE’ command is issued to see the structure of the table ‘tbl_name’. It shows the structure in the format: Field-Type-Null-Key-Default-Extra. The ‘VIEW’ and ‘SELECT’ commands are used to see the contents of the table."
"10. SHOW DATABASES lists the databases in the server to which you are connected.
a) True
b) False
View Answer","Answer: a
Explanation: The ‘SHOW DATABASES’ command is used to display the list of the databases that are being managed by the server to which connection is established. This list would vary from server to server."
"1. The command to move the cursor to the beginning of line in MySQL input editor is?
a) Ctrl-A
b) Ctrl-E
c) Ctrl-D
d) Esc-a
View Answer","Answer: a
Explanation: Control-A moves the cursor to the beginning of the line. Ctrl-E moves the cursor to the end of the line. Control-D deletes the character under the cursor whereas Esc-a is not valid."
"2. What does Control-_ do in MySQL input editor?
a) copies to clipboard
b) pastes from clipboard
c) undoes last change
d) deletes the current line
View Answer","Answer: c
Explanation: Control-_ undoes the last change that was made. This can be repeated. The mysql input editor has a variety of commands to facilitate editing while providing inputs to the command line itself."
"3. On UNIX, statements entered in ‘MySQL’ are saved in which file?
a) .mysql_queries
b) .queries
c) .mysql_history
d) .history
View Answer","Answer: c
Explanation: Statements entered in ‘MySQL’ are stored in the file named ‘.mysql_history’. This file is located in the home directory itself. The SQL statements can be directly pasted into this file."
"4. MySQL can be used to execute script files.
a) True
b) False
View Answer","Answer: a
Explanation: MySQL is capable of reading input from a file in batch mode. This is also known as the non-interactive mode. A lot of typing and time can be saved when commands are stored in a file and executed from a file."
"5. Suppose run_me.sh is a script file. Which command is used to make it executable?
a) chmod +e run_me.sh
b) chmod +a run_me.sh
c) chmod +y run_me.sh
d) chmod +x run_me.sh
View Answer","Answer: d
Explanation: The command ‘chmod +x file_name’ makes a script file executable. mysql supports reading from a script file and executing queries from it. Before a script is run, it is necessary for it to be made executable."
"6. To execute the contents of a query file ‘exec.sql’ by feeding it to mysql, which command is used?
a) mysql exec.sql > sampdb
b) mysql sampdb < exec.sql
c) mysql exec.sql
d) mysql exec
View Answer","Answer: b
Explanation: mysql queries can be run after placing the queries in a file, and then executing it by feeding it to mysql. By default, mysql prints output in a tab-delimited format when it is running in noninteractive mode."
"7. Which option prints output in table-format when MySQL is run interactively?
a) -t
b) -tf
c) -p
d) -pf
View Answer","Answer: a
Explanation: MySQL produces output in tab-delimited format when it is run in batch mode. Suppose a table-format output is desired, the -t option is used along with the mysql command. -tf is not a valid option."
"8. The clause that enables mapping a short command to a long command is __________
a) map
b) direct
c) label
d) alias
View Answer","Answer: d
Explanation: If the shell program permits an alias, a short command can be mapped to a long command. This reduces the time taken by typing long commands frequently. An alias is defined by the keyword ‘alias’ followed by the short and long commands."
"9. The connection parameters for setting up MySQL can be stored in an option file to save typing the names every time a connection is established.
a) True
b) False
View Answer","Answer: a
Explanation: Every Time MySQL is invoked, connection parameters like hostname, username and password are required. To save typing these parameters all the time, they can be saved in an option file instead and executed when setting up the connection."
"10. In UNIX, the name of the option file is __________
a) .my.cnf
b) .my.ini
c) .my.opt
d) .my.opc
View Answer","Answer: a
Explanation: Under Unix, an option file is set up by creating a file named ‘~/.my.cnf’ in the home directory. ‘C:\my.ini’ is the option file that is setup in Windows. An option file stores the connection parameters."
"1. The system variable in MySQL server that enables to configure the SQL mode is __________
a) sql_config
b) sql_mode
c) sql_server
d) sql_enable
View Answer","Answer: b
Explanation: The system variable ‘sql_mode’ is used by the MySQL server to configure the SQL mode. It has an impact on various aspects of the SQL statement executions. The other variables do not exist in the server."
"2. Any client in the client/server architecture of MySQL can change how the server behaves in relation to itself without impact on other clients.
a) True
b) False
View Answer","Answer: a
Explanation: The MySQL server system variable ‘sql_mode’ can be set up globally. In this way, individual clients would have the ability to change their connection to the server. This variable can affect several aspects of statement executions."
"3. How do the STRICT_ALL_TABLES and STRICT_TRANS_TABLES mode values deal with bad data?
a) reject them
b) accept them
c) change them to the closest legal value and accept
d) change them to the closest legal value and reject
View Answer","Answer: a
Explanation: ‘STRICT_ALL_TABLES’ and ‘STRICT_TRANS_TABLES’ are the MySQL server mode values that deal with bad data in a ‘strict’ manner. They do not make any change to the data. It is simply rejected."
"4. Which mode tells the server to recognize double quote as an identifier quoting character?
a) ANSI_DQ
b) ANSI_QUOTES
c) ANSI_RECG_QUOTES
d) ANSI_RECG_DQUOTES
View Answer","Answer: b
Explanation: ‘ANSI_QUOTES’ is the MySQL server mode value stored in the system variable which directs the MySQL server to treat the double quote character as a quoting character for identifiers. The others are not valid mode values."
"5. Which mode tells the server to recognize || as the string concatenation operator?
a) PIPES_AS_CONCAT
b) ORS_AS_CONCAT
c) DOUBLE_PIPE_AS_CONCAT
d) LOGIC_OR_AS_CONCAT
View Answer","Answer: a
Explanation: ‘PIPES_AS_CONCAT’, one of the many MySQL server mode values stored in the system variable would direct the server to treat the pipe characters as the standard SQL string concatenation operator rather than the logical or. The rest mode values are invalid."
"6. Which of these modes is a composite server mode?
a) COMPOSITE
b) COMPOSITE_MODE
c) COMPOSITE_SERVER
d) ANSI
View Answer","Answer: d
Explanation: The ‘ANSI’ mode value is a composite mode. It turns on several other mode values like ANSI_QUOTES, PIPES_AS_CONCAT. This makes the server behave much like standard SQL than the default mode."
"7. MySQL server mode values are case sensitive.
a) True
b) False
View Answer","Answer: b
Explanation: The MySQL server mode values stored in the system variable are not case sensitive. So it does not make a difference if you accidentally store the mode values in lowercase or uppercase."
"8. Which of the following commands sets the SQL mode as TRADITIONAL?
a) –sqlmode=’TRADITIONAL’
b) –sql_mode=’TRADITIONAL’
c) –sql-mode=’TRADITIONAL’
d) –sql.mode=’TRADITIONAL’
View Answer","Answer: c
Explanation: When the server starts, the command –sql-mode=’TRADITIONAL’ can be used to set the SQL mode as ‘TRADITIONAL’. This can be stored in an option file or can be directly executed on the command line."
"9. Which statement can be used to specify the sql_mode system variable at runtime?
a) SPECIFY
b) SET
c) ASSIGN
d) CHANGE
View Answer","Answer: b
Explanation: The ‘SET’ statement can change the SQL mode at runtime. For example, the statement SET sql_mode = ‘ANSI_QUOTES’ can be used by a client in its own session specific SQL mode."
"10. When no modes are enabled, what does this SQL statement return?a) empty value
b) zero
c) a negative value
d) a garbage value
View Answer","Answer: a
Explanation: When it is needed to determine the current value of the session SQL mode, the above statement is executed. The returned value consists of a comma-separated list of the modes that are enabled."
"1. Which of the following characters is illegal in naming an unquoted identifier in SQL?
a) _
b) $
c) 2
d) .
View Answer","Answer: d
Explanation: An identifier is used to refer to a database or its elements. These elements can be entire tables or attributes. The names of these identifiers follow some set of rules, so they have a set of legal characters."
"2. In MySQL, identifier names can start with a digit.
a) True
b) False
View Answer","Answer: a
Explanation: Identifiers are allowed to start with any legal character. So it may begin with a digit. The special characters in the identifier characters consist of the ‘_’ and ‘$’. The other characters are the alphanumeric characters."
"3. How are identifiers quoted in MySQL?
a) single quotes
b) double quotes
c) backticks
d) can’t be quoted
View Answer","Answer: c
Explanation: An identifier is quoted within the backtick characters ‘`’. This allows use of any character except a byte with value 0 or 255. Single quotes and double quotes are not allowed when quoting identifier names."
"4. Which of the following is an illegal unquoted identifier name?
a) 123_id
b) 123id
c) id1
d) 123
View Answer","Answer: d
Explanation: In MySQL, the quoted and unquoted identifier names have differences in the level of restrictions imposed on them. An unquoted identifier name can’t have all digits since it would be impossible to distinguish it from an integer constant."
"5. Which server mode value enables use of double quotes to wrap identifier names?
a) ANSI
b) ANSI_QUOTES
c) TRADITIONAL
d) PIPES_AS_CONCAT
View Answer","Answer: b
Explanation: In MySQL, use of double quotes is enabled when the server SQL mode ‘ANSI_QUOTES’ is set. The use of backticks is still allowed. For example, SELECT TABLE “my table” is a statement that is allowed."
"6. Which server mode value disables use of built in function names as identifiers?
a) ANSI
b) IGNORE_FUNC
c) TRADITIONAL
d) IGNORE_SPACE
View Answer","Answer: d
Explanation: The Server SQL mode value ‘IGNORE_FUNC’ is used to restrict the identifier naming conventions. When this is enabled, the names of built in functions can no longer be used as identifiers."
"7. What is the maximum length for alias names in terms of characters?
a) 64
b) 128
c) 256
d) 32
View Answer","Answer: c
Explanation: The identifiers in MySQL have a maximum length of 64 characters. However, the alias names for identifiers can have the number of characters up to 256. Aliases can also be quoted or unquoted."
"8. What does a fully qualified table name consist of?
a) only the table name
b) only the database name
c) table name followed by database name
d) database name followed by table name
View Answer","Answer: d
Explanation: MySQL identifiers use qualifiers. An element of a database has a fully qualified name. A database table in MySQL has the fully qualified name as the database name followed by the table name."
"9. If no database has been selected, specifying a database qualifier is necessary.
a) True
b) False
View Answer","Answer: a
Explanation: When no database has been selected, not specifying the database qualifier would be confusing. A table cannot be referred to if the database qualfier is absent since it would be unclear as to which database it belongs to."
"10. Which of the following MySQL statements is valid if ‘`sampledb`’ is a database and ‘`tbl`’ is a table in it?
a) SELECT * FROM `sampledb.member`
b) SELECT * FROM `sampledb`.`member`
c) SELECT * FROM `member`.`sampledb`
d) SELECT * FROM `member.sampledb`
View Answer","Answer: b
Explanation: When quotes are being used to refer to a qualified name, the individual identifiers are quoted within the name separately. So, the database name `sampledb` and table name `tbl` are quoted separately."
"1. Case sensitivity in SQL statements does not vary for different operating systems of the machine on which the server is running.
a) True
b) False
View Answer","Answer: b
Explanation: The case sensitivity rules in SQL statements are different for different statement elements, depend on what is being referred to and also on the machine’s operating system on which the server is running."
"2. What is true about the following SQL statement?a) invalid
b) display contents of table_1
c) improper case being used
d) display only column names in table_1
View Answer","Answer: b
Explanation: The keywords and function names are not case sensitive in SQL. They can be named in any letter case. So, the above statement is correct and legal. It retrieves information from the table ‘table_1’."
"3. The default case sensitivity of database and table names depends on ___________
a) SQL server
b) Server SQL mode
c) Operating system of machine
d) Does not depend on anything
View Answer","Answer: c
Explanation: The default case sensitivity imposes a dependency on the operating system of the machine on which the MySQL server is running. Windows does not treat database and table names as case sensitive unlike Unix."
"4. Which of the following is case sensitive?
a) Stored function name
b) Stored procedure name
c) Trigger name
d) Event name
View Answer","Answer: c
Explanation: The stored functions and stored procedure names in MySQL are not case sensitive. Event names are also not case sensitive. Unlike the standard SQL, the trigger names in MySQL is case sensitive."
"5. Which variable is used to set table alias names as non-case sensitive?
a) lower_case_table_names
b) lower_case_all
c) lower_case_alias
d) lower_case_aliases
View Answer","Answer: a
Explanation: In MySQL, by default the alias names are case sensitive. An alias can hence be specified in any letter case, upper, lower or mixed. If the variable ‘lower_case_table_names’ is non zero, the alias names of tables are not case sensitive."
"6. Which case does InnoDB store database names in?
a) lower
b) upper
c) mixed
d) random
View Answer","Answer: a
Explanation: In InnoDB, all the database names as well as all the table names are stored in lowercase internally. There is no random case assignment to the database elements when the engine is set as InnoDB."
"7. Regardless of whether a database or table name is case sensitive on the system, it must be referred to using the same lettercase throughout a given query.
a) True
b) False
View Answer","Answer: a
Explanation: A database or table name must be referred to using the same lettercase throughout a given query. This is regardless of the fact whether it is case sensitive on the system or not."
"8. Which of the following is case sensitive in MySQL?
a) Event names
b) Logfile group names
c) Column names
d) Indexes
View Answer","Answer: b
Explanation: Column names and indexes are not case sensitive on any platform and neither are column aliases. Unlike the standard SQL, the names of the log file groups are always case sensitive."
"9. Which property determines whether a database object is a case sensitive?
a) COLLATION
b) ATOMICITY
c) COLLABORATION
d) NORMALIZATION
View Answer","Answer: a
Explanation: The way to determine whether a database object or a database is case sensitive or not is to check the ‘COLLATION’ property. The result would be either CI for insensitive or CS for sensitive."
"10. What is AI in terms of database collation?
a) Accent Insensitive
b) Augment Insensitive
c) Articulate Insensitive
d) Addition Insensitive
View Answer","Answer: a
Explanation: The collation in the database can also be specified in the join or comparison conditions. The value ‘AI’ means ‘Accent Insensitive’. ‘CS’ is case sensitive and ‘CI’ is case insensitive."
"1. What is the maximum collations a character set can have?
a) 0
b) 1
c) 2
d) more than 1
View Answer","Answer: d
Explanation: The MySQL server allows simultaneous use of multiple character sets. A given character set is allowed to have one or more collations. It can be chosen according to the need of the database."
"2. Unicode support is provided in MySQL.
a) True
b) False
View Answer","Answer: a
Explanation: In MySQL, Unicode character set support is provided by the utf8 and ucs2 character sets. There are further additional character sets available as of MySQL version 6.0.4."
"3. Which clause can be used to sort string values according to a specific collation?
a) SORT
b) GROUP
c) FILTER
d) COLLATE
View Answer","Answer: d
Explanation: The ‘COLLATE’ operator can be used to sort the string values according to a specific collation. For example, ‘SELECT col FROM tbl ORDER BY col COLLATE latin1_swedish_ci’ sorts by swedish collation."
"4. Which MySQL statement is used to find out which character sets are available?
a) SHOW CHARACTER SET
b) SHOW COLLATION
c) SHOW CHARACTER SETS
d) SHOW COLLATIONS
View Answer","Answer: a
Explanation: It is simple to determine the character sets and collations that are available in MySQL. ‘SHOW CHARACTER SET’ shows the character sets while ‘SHOW COLLATION’ shows the collations."
"5. Which collations does this MySQL statement list?a) names beginning with utf8
b) names ending with utf8
c) names containing utf8% anywhere
d) names ending in utf8%
View Answer","Answer: a
Explanation: The character set ‘utf8’ is used for the Unicode character set 8. The ‘LIKE’ keyword does the job of narrowing the search space to refer to only those names that begin with ‘utf8’."
"6. Which statement is used to show the server’s current character set and collation settings?
a) SHOW CONSTANTS
b) SHOW CONSTRAINTS
c) SHOW VARIABLES
d) DISP VARIABLES
View Answer","Answer: c
Explanation: The statement ‘SHOW VARIABLES LIKE ‘character\_set\_%” displays a table consisting of two columns, ‘Variable_name’ and ‘Value’. Replacing characer\_set\_% with collation\_% shows the collation variables."
"7. What does UTF stand for int utf8?
a) Universal Transformation Format
b) Unicode Transformation Format
c) Universal Transformation Formula
d) Unicode Transformation Formula
View Answer","Answer: b
Explanation: In the utf8 character set in MySQL, the characters are represented in one, two or three bytes. ‘UTF’ stands for ‘Unicode Transformation Format’. Unicode support prior to MySQL 6.0 was different."
"8. Prior to MySQL 6.0, utf8 was ___________
a) 3 bytes
b) 4 bytes
c) 8 bytes
d) 9 bytes
View Answer","Answer: a
Explanation: ‘UTF’ stands for ‘Unicode Transformation Format’. Unicode support prior to MySQL 6.0 was different from that post MySQL 6.0. The older utf8 was of three bytes."
"9. Post MySQL 6.0, utf8 was ___________
a) 3 bytes
b) 4 bytes
c) 5 bytes
d) 6 bytes
View Answer","Answer: b
Explanation: Unicode support prior to MySQL 6.0 was different from that post MySQL 6.0. The older utf8 was of three bytes. The newer utf8 is now of four bytes. This is applicable to MySQL 6.0 and above."
"10. What is generally used as a synonym for CHARACTER SET?
a) CSET
b) CHSET
c) CHARSET
d) CHCSET
View Answer","Answer: c
Explanation: ‘CHARACTER SET’ can be abbreviated into ‘CHARSET’ and can be used in the same contexts and statements where ‘CHARACTER SET’ is used. ‘charset’ is the server-supported character set."
"1. Which statement is used to select a default database?
a) USE
b) CREATE
c) DROP
d) SCHEMA
View Answer","Answer: a
Explanation: MySQL has the facility to use various statements specifically at the database level. For selecting a default database, the keyword or clause used is the ‘USE’ statement."
"2. Which keyword is the synonym for DATABASE?
a) TABLE
b) OBJECT
c) DB
d) SCHEMA
View Answer","Answer: d
Explanation: In any statement where the word ‘DATABASE’ occurs, the keyword ‘SCHEMA’ can be used as a synonym in place of it. In the literal sense, SCHEMA refers to the structure of the database."
"3. It is not required to have an access privilege for a database before selecting it with ‘USE’.
a) True
b) False
View Answer","Answer: b
Explanation: In order to select a database as the default database for the MySQL server using the ‘USE’ statement, some access privilege for the database needs to be granted or attained."
"4. Which keyword is used to create a database?
a) CREATE
b) SET
c) SETUP
d) LINK
View Answer","Answer: a
Explanation: The statement ‘CREATE DATABASE database_name;’ is used to create a database with the name ‘database_name’. A database qualifier should be used to specify the full name of the database."
"5. The file created by the server to store the database attributes is __________
a) db.otp
b) dp.zip
c) db.opt
d) db.cls
View Answer","Answer: c
Explanation: Whenever a database is created in MySQL, the MySQL server creates a directory with the same name as the database. It creates the file db.opt to store the attributes."
"6. To create a database only if it doesn’t already exist, which clause is used?
a) IF EXISTS
b) IF NOT EXISTS
c) CREATE EXISTS
d) EXISTS IF
View Answer","Answer: b
Explanation: The ‘CREATE DATABASE’ statement supports many optional values. To create a database named ‘my_db’ only if it doesn’t already exist, we write ‘CREATE DATABASE IF NOT EXISTS my_db’."
"7. If COLLATE is given without CHARACTER SET, the first part of the collation name gives the character set.
a) True
b) False
View Answer","Answer: a
Explanation: When a database is created, the ‘CHARACTER SET’ and ‘COLLATE’ values are specified. When ‘CHARACTER SET’ is given without ‘COLLATE’, the default collation is used."
"8. MySQL stores the database character set and collation attributes in the file _________
a) dp.opt
b) db.opt
c) db.sv
d) db.zip
View Answer","Answer: b
Explanation: The file named ‘db.opt’ is of a great significance to MySQL, espectially the MySQL server. It stores the database attributes along with the db charset and collation attributes."
"9. Which statement is used to see the definition for an existing database?
a) SHOW CREATE DATABASE
b) SHOW DATABASE
c) SHOW CREATE
d) SHOW CREATE DATABASE TABLE
View Answer","Answer: a
Explanation: The statement ‘SHOW CREATE DATABASE’ is invoked to see the definition of an existing database in the MySQL server. It is followed by the qualified name of the database."
"10. Which statement makes changes to the database’s global attributes?
a) CHANGE
b) ALTER
c) ALTERNATE
d) UPDATE
View Answer","Answer: b
Explanation: The ‘ALTER TABLE’ statement is used to make changes to a database’s global attributes. This statement is followed by the name of the database, character set and collation."
"1. Which statement is used to remove indexes on tables?
a) DROP INDEX
b) DELETE INDEX
c) REMOVE INDEX
d) FLUSH INDEX
View Answer","Answer: a
Explanation: MySQL provides statements to change the structure of tables. To add or remove the indexes on the existing database tables, the ‘CREATE INDEX’ and ‘DROP INDEX’ tables are used."
"2. Which storage engine is not available in MySQL 5.0?
a) InnoDB
b) ARCHIVE
c) Falcon
d) NDB
View Answer","Answer: c
Explanation: All of the storage engines given are available in MySQL versions 5.0 and above, except ‘Falcon’. MySQL supports many storage engines or table handlers that have a specific set of properties."
"3. The default storage engine used is ____________
a) EXAMPLE
b) ARCHIVE
c) MyISAM
d) NDB
View Answer","Answer: c
Explanation: MySQL comes with multiple storage engines. The default storage engine used is ‘MyISAM’. ‘EXAMPLE’ is the stub storage engine, NDB is the storage engine for MySQL Cluster."
"4. What is the name of the format file for a table named my_tbl?
a) my_tbl.fmt
b) my_tbl.frm
c) my_tbl.fmr
d) my_tbl.ftm
View Answer","Answer: b
Explanation: Every time a table is created in MySQL, it creates a disk file containing the format of the table. It has two components, namely, base name (here, ‘my_tbl’) and an extension (here, ‘frm’)."
"5. In the CREATE TABLE statement, the engine name specified is case sensitive.
a) True
b) False
View Answer","Answer: b
Explanation: Suppose a table is created using the following statement: ‘CREATE TABLE my_tbl (…..) ENGINE = InnoDB;’. The engine name ‘InnoDB’ used is always case insensitive."
"6. Which keyword is used to create a table as a temporary copy of itself?
a) TEMP
b) TEMPO
c) TEMPR
d) TEMPORARY
View Answer","Answer: d
Explanation: The ‘CREATE TABLE’ clause has a very vast formal format, although its usage is extremely simple and intuitive. One of the many ways is to create a table as a temporary copy of itself."
"7. Which storage engine enables to access tables from a MySQL server managed by another server?
a) InnoDB
b) EXAMPLE
c) MyISAM
d) FEDERATED
View Answer","Answer: d
Explanation: There are many storage engines that are used in MySQL. By default, MyISAM is used as the storage engine unless specified otherwise. FEDERATED enables access to a foreign MySQL server."
"8. It is possible to drop multiple tables in the same statement.
a) True
b) False
View Answer","Answer: a
Explanation: To drop a table, all that is required is the table name. No additional information like table format or type is necessary. Multiple tables are dropped in the same DROP TABLE statement."
"9. The default index type for MEMORY tables is __________
a) HASH
b) SPATIAL
c) FULLTEXT
d) UNIQUE
View Answer","Answer: a
Explanation: The ‘HASH’ index is the default index type for ‘MEMORY’ tables. ‘SPATIAL’ can only be used with ‘MyISAM’ tables for the spatial data types. ‘FULLTEXT’ is used for performing full-text searches."
"10. The statement to change the table name is __________
a) CHANGE
b) CHANGENAME
c) CHANGENM
d) RENAME
View Answer","Answer: d
Explanation: To change the name of a table, the keyword ‘RENAME’ can be used. It can be used with the ‘ALTER TABLE’ clause. It can also be used as a statement in itself like ‘RENAME TABLE old_tbl new_tbl’."
