,Question,Answer
45,"6. DecryptByKeyAutoCert is ________________  type function.
a) Symmetric Encryption and decryption
b) Encryption Hashing
c) Asymmetric Encryption and decryption
d) Symmetric decryption with Automatic key handling
View Answer","Answer: d
Explanation: DecryptByKeyAutoCert function decrypts by using a symmetric key that is automatically decrypted with a certificate."
46,"7. Text and Image Functions are ___________
a) nondeterministic
b) deterministic
c) table valued
d) all of the mentioned
View Answer","Answer: a
Explanation: Text and image functions are nondeterministic. This means they do not always return the same results every time they are called, even with the same set of input values."
47,"8. Which of the following is not a conversion function?
a) CAST and CONVERT
b) PARSE
c) TRY_CAST
d) TRY_CASE
View Answer","Answer: d
Explanation: Conversion functions support data type casting and converting."
48,"9. ______________ returns the rank of rows within the partition of a result set, without any gaps in the ranking.
a) RANK
b) NTILE
c) DENSE_RANK
d) ROW_NUMBER
View Answer","Answer: c
Explanation: DENSE_RANK function makes the rank of a row is one plus the number of distinct ranks that come before the row in question."
49,"10. Built in Functions in SQL Server is categorized into how many categories?
a) 4
b) 5
c) 6
d) 7
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: a
Explanation: SQL Server provides many built-in functions and also lets you create user-defined functions:- Rowset, Aggregate, Ranking and Scalar Function."
50,"1. Which SQL function is used to count the number of rows in a SQL query?
a) COUNT()
b) NUMBER()
c) SUM()
d) COUNT(*)
View Answer","Answer: d
Explanation: COUNT(*) takes null value row in to consideration."
51,"2. Which SQL keyword is used to retrieve a maximum value?
a) MOST
b) TOP
c) MAX
d) UPPER
View Answer","Answer: c
Explanation: The MAX() function returns the largest value of the selected column."
52,"3. Which of the following SQL clauses is used to DELETE tuples from a database table?
a) DELETE
b) REMOVE
c) DROP
d) CLEAR
View Answer","Answer: a
Explanation: The SQL DELETE Query is used to delete the existing records from a table."
53,"4. ___________removes all rows from a table without logging the individual row deletions.
a) DELETE
b) REMOVE
c) DROP
d) TRUNCATE
View Answer","Answer: d
Explanation: TRUNCATE statement is a Data Definition Language (DDL) operation that marks the extents of a table for deallocation."
54,"5. Which of the following is not a DDL command?
a) UPDATE
b) TRUNCATE
c) ALTER
d) None of the Mentioned
View Answer","Answer: a
Explanation: Data definition language (DDL) commands enable you to perform the following tasks:Create, alter, and drop schema objects."
55,"6. Which of the following are TCL commands?
a) UPDATE and TRUNCATE
b) SELECT and INSERT
c) GRANT and REVOKE
d) ROLLBACK and SAVEPOINT
View Answer","Answer: d
Explanation: Transaction control commands manage changes made by DML commands. These SQL commands are used for managing changes affecting the data."
56,"7. ________________ is not a category of SQL command.
a) TCL
b) SCL
c) DCL
d) DDL
View Answer","Answer: b
Explanation: SQL commands can be used not only for searching the database but also to perform various other functions.They are DDL,DML,TCL and DCL."
57,"8. If you don’t specify ASC or DESC after a SQL ORDER BY clause, the following is used by default ______________
a) ASC
b) DESC
c) There is no default value
d) None of the mentioned
View Answer","Answer: a
Explanation: ASC is the default sort order. Null values are treated as the lowest possible values."
58,"9. Which of the following statement is true?
a) DELETE does not free the space containing the table and TRUNCATE free the space containing the table
b) Both DELETE and TRUNCATE free the space containing the table
c) Both DELETE and TRUNCATE does not free the space containing the table
d) DELETE free the space containing the table and TRUNCATE does not free the space containing the table
View Answer","Answer: a
Explanation: The SQL TRUNCATE command is used to delete all the rows from the table and free the space containing the table."
59,"10. What is the purpose of the SQL AS clause?
a) The AS SQL clause is used to change the name of a column in the result set or to assign a name to a derived column
b) The AS clause is used with the JOIN clause only
c) The AS clause defines a search condition
d) All of the mentioned
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: a
Explanation: SQL Aliases are defined for columns and tables. Basically aliases are created to make the column selected more readable."
60,"1. What does DML stand for?
a) Different Mode Level
b) Data Model Language
c) Data Mode Lane
d) Data Manipulation language
View Answer","Answer: d
Explanation: Data Manipulation Language is used to modify the records in the database."
61,"2. With SQL, how do you select all the records from a table named “Persons” where the value of the column “FirstName” ends with an “a”?
a) SELECT * FROM Persons WHERE FirstName=’a’
b) SELECT * FROM Persons WHERE FirstName LIKE ‘a%’
c) SELECT * FROM Persons WHERE FirstName LIKE ‘%a’
d) SELECT * FROM Persons WHERE FirstName=’%a%’
View Answer","Answer: c
Explanation: The SQL LIKE clause is used to compare a value to similar values using wildcard operators."
62,"3. With SQL, how can you return all the records from a table named “Persons” sorted descending by “FirstName”?
a) SELECT * FROM Persons SORT BY ‘FirstName’ DESC
b) SELECT * FROM Persons ORDER FirstName DESC
c) SELECT * FROM Persons SORT ‘FirstName’ DESC
d) SELECT * FROM Persons ORDER BY FirstName DESC
View Answer","Answer: d
Explanation: The SQL SELECT statement queries data from tables in the database."
63,"4. With SQL, how can you return the number of not null records in the “Persons” table?
a) SELECT COUNT() FROM Persons
b) SELECT COLUMNS() FROM Persons
c) SELECT COLUMNS(*) FROM Persons
d) SELECT COUNT(*) FROM Persons
View Answer","Answer: a
Explanation: COUNT(column_name) is used to count the number of rows of a table where column name is a column that does not allow NULL values."
64,"5. What does the ALTER TABLE clause do?
a) The SQL ALTER TABLE clause modifies a table definition by altering, adding, or deleting table columns and/or constraints
b) The SQL ALTER TABLE clause is used to insert data into database table
c) THE SQL ALTER TABLE deletes data from database table
d) The SQL ALTER TABLE clause is used to delete a database table
View Answer","Answer: a
Explanation: The ALTER TABLE statement is used to add, delete, or modify columns."
65,"6. The UPDATE SQL clause can _____________
a) update only one row at a time
b) update more than one row at a time
c) delete more than one row at a time
d) delete only one row at a time
View Answer","Answer: b
Explanation: The SQL UPDATE Query is used to modify the existing records in a table. You can use WHERE clause with UPDATE query to update selected rows otherwise all the rows would be affected."
66,"7. The UNION SQL clause can be used with _____________
a) SELECT clause only
b) DELETE and UPDATE clauses
c) UPDATE clause only
d) All of the mentioned
View Answer","Answer: a
Explanation: The SQL UNION operator is used to combine the result sets of 2 or more SELECT statements. It removes duplicate rows between the various SELECT statements."
67,"8. Which SQL statement is used to return only different values?
a) SELECT DIFFERENT
b) SELECT UNIQUE
c) SELECT DISTINCT
d) SELECT ALL
View Answer","Answer: c
Explanation: The SELECT DISTINCT statement is used to return only distinct (different) values."
68,"9. Which SQL keyword is used to sort the result-set?
a) ORDER BY
b) SORT
c) ORDER
d) SORT BY
View Answer","Answer: a
Explanation: The ORDER BY keyword sorts the records in ascending order by default."
69,"10. How can you change “Hansen” into “Nilsen” in the “LastName” column in the Persons table?
a) UPDATE Persons SET LastName=’Hansen’ INTO LastName=’Nilsen’
b) MODIFY Persons SET LastName=’Nilsen’ WHERE LastName=’Hansen’
c) MODIFY Persons SET LastName=’Hansen’ INTO LastName=’Nilsen’
d) UPDATE Persons SET LastName=’Nilsen’ WHERE LastName=’Hansen’
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: d
Explanation: In its simplest form, the syntax for the UPDATE statement when updating one table is:UPDATE table SET column1 = expression1,column2 = expression2,… WHERE conditions."
70,"1. Which of the following command makes the updates performed by the transaction permanent in the database?
a) ROLLBACK
b) COMMIT
c) TRUNCATE
d) DELETE
View Answer","Answer: b
Explanation: Commit command is used to permanently save any transaction into the database."
71,"2. Which TCL command undo all the updates performed by the SQL in the transaction?
a) ROLLBACK
b) COMMIT
c) TRUNCATE
d) DELETE
View Answer","Answer: b
Explanation: Rollback is used for undoing the work done in the current transaction. This command also releases the locks if any hold by the current transaction."
72,"3. SQL query to find all the cities whose humidity is 95.
a) SELECT city WHERE humidity = 95
b) SELECT city FROM weather WHERE humidity = 95
c) SELECT humidity = 89 FROM weather
d) SELECT city FROM weather
View Answer","Answer: b
Explanation:  The SQL WHERE clause is used to filter the results and apply conditions in a SELECT, INSERT, UPDATE, or DELETE statement."
73,"4. SQL query to find the temperature in increasing order of all cities.
a) SELECT city FROM weather ORDER BY temperature
b) SELECT city, temperature FROM weather
c) SELECT city, temperature FROM weather ORDER BY temperature
d) SELECT city, temperature FROM weather ORDER BY city
View Answer","Answer: d
Explanation: The ORDER BY keyword sorts the records in ascending order by default."
74,"5. What is the meaning of LIKE ‘%0%0%’?
a) Feature begins with two 0’s
b) Feature ends with two 0’s
c) Feature has more than two 0’s
d) Feature has two 0’s in it, at any position
View Answer","Answer: d
Explanation: The LIKE operator is used in a WHERE clause to search for a specified pattern in a column."
75,"6. Find the names of these cities with temperature and condition whose condition is neither sunny nor cloudy.
a) SELECT city, temperature, condition FROM weather WHERE condition NOT IN (‘sunny’, ‘cloudy’)
b) SELECT city, temperature, condition FROM weather WHERE condition NOT BETWEEN (‘sunny’, ‘cloudy’)
c) SELECT city, temperature, condition FROM weather WHERE condition IN (‘sunny’, ‘cloudy’)
d) SELECT city, temperature, condition FROM weather WHERE condition BETWEEN (‘sunny’, ‘cloudy’);
View Answer","Answer: a
Explanation:  The IN operator allows you to specify multiple values in a WHERE clause."
76,"7. Find the name of those cities with temperature and condition whose condition is either sunny or cloudy but temperature must be greater than 70.
a) SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ AND condition = ‘cloudy’ OR temperature > 70
b) SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ OR condition = ‘cloudy’ OR temperature > 70
c) SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ OR condition = ‘cloudy’ AND temperature > 70
d) SELECT city, temperature, condition FROM weather WHERE condition = ‘sunny’ AND condition = ‘cloudy’ AND temperature > 70
View Answer","Answer: c
Explanation: The AND operator displays a record if both the first condition AND the second condition are true. The OR operator displays a record if either the first condition OR the second condition is true."
77,"8. Find all the tuples having a temperature greater than ‘Paris’.
a) SELECT * FROM weather WHERE temperature > (SELECT temperature FROM weather WHERE city = ‘Paris’
b) SELECT * FROM weather WHERE temperature > (SELECT * FROM weather WHERE city = ‘Paris’)
c) SELECT * FROM weather WHERE temperature > (SELECT city FROM weather WHERE city = ‘Paris’)
d) SELECT * FROM weather WHERE temperature > ‘Paris’ temperature
View Answer","Answer: a
Explanation: Subquery—also referred to as an inner query or inner select—is a SELECT statement embedded within a data manipulation language (DML) statement or nested within another subquery."
78,"9. Find all the cities with temperature, condition and humidity whose humidity is in the range of 63 to 79.
a) SELECT * FROM weather WHERE humidity IN (63 to 79)
b) SELECT * FROM weather WHERE humidity NOT IN (63 AND 79)
c) SELECT * FROM weather WHERE humidity BETWEEN 63 AND 79
d) SELECT * FROM weather WHERE humidity NOT BETWEEN 63 AND 79
View Answer","Answer: c
Explanation:  The BETWEEN operator is used to select values within a range."
79,"10. The command to remove rows from a table ‘CUSTOMER’ is __________________
a) DROP FROM CUSTOMER
b) UPDATE FROM CUSTOMER
c) REMOVE FROM CUSTOMER
d) DELETE FROM CUSTOMER WHERE
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: d
Explanation: The SQL DELETE Query is used to delete the existing records from a table. You can use WHERE clause with the DELETE query to delete selected rows."
80,"1. What type of join is needed when you wish to include rows that do not have matching values?
a) Equi-join
b) Natural join
c) Outer join
d) All of the Mentioned
View Answer","Answer: c
Explanation:OUTER JOIN is the only join which shows the unmatched rows."
81,"2. What type of join is needed when you wish to return rows that do have matching values?
a) Equi-join
b) Natural join
c) Outer join
d) All of the Mentioned
View Answer","Answer: d
Explanation: Outer join returns the row having matching as well as non matching values."
82,"3. Which of the following is one of the basic approaches for joining tables?
a) Subqueries
b) Union Join
c) Natural join
d) All of the Mentioned
View Answer","Answer: d
Explanation: The SQL subquery is a SELECT query that is embedded in the main SELECT statement. In many cases, a subquery can be used instead of a JOIN."
83,"4. The following SQL is which type of join: SELECT CUSTOMER_T. CUSTOMER_ID, ORDER_T. CUSTOMER_ID, NAME, ORDER_ID FROM CUSTOMER_T,ORDER_T WHERE CUSTOMER_T. CUSTOMER_ID = ORDER_T. CUSTOMER_ID?
a) Equi-join
b) Natural join
c) Outer join
d) Cartesian join
View Answer","Answer: a
Explanation: Equi-join joins only same data entry field. For example, one table contains department id and another table should contain department id."
84,"5. A UNION query is which of the following?
a) Combines the output from no more than two queries and must include the same number of columns
b) Combines the output from no more than two queries and does not include the same number of columns
c) Combines the output from multiple queries and must include the same number of columns
d) Combines the output from multiple queries and does not include the same number of columns
View Answer","Answer: c
Explanation: A single UNION can combine only 2 sql query at a time."
85,"6. Which of the following statements is true concerning subqueries?
a) Involves the use of an inner and outer query
b) Cannot return the same result as a query that is not a subquery
c) Does not start with the word SELECT
d) All of the mentioned
View Answer","Answer: a
Explanation: Subquery—also referred to as an inner query or inner select—is a SELECT statement embedded within a data manipulation language (DML) statement or nested within another subquery."
86,"7. Which of the following is a correlated subquery?
a) Uses the result of an inner query to determine the processing of an outer query
b) Uses the result of an outer query to determine the processing of an inner query
c) Uses the result of an inner query to determine the processing of an inner query
d) Uses the result of an outer query to determine the processing of an outer query
View Answer","Answer: a
Explanation: A ‘correlated subquery’ is a term used for specific types of queries in SQL in computer databases. It is a subquery (a query nested inside another query) that uses values from the outer query in its WHERE clause."
87,"8. How many tables may be included with a join?
a) One
b) Two
c) Three
d) All of the Mentioned
View Answer","Answer: d
Explanation: Join can be used for more than one table. For ‘n’ tables the no of join conditions required are ‘n-1’."
88,"9. The following SQL is which type of join: SELECT CUSTOMER_T. CUSTOMER_ID, ORDER_T. CUSTOMER_ID, NAME, ORDER_ID FROM CUSTOMER_T,ORDER_T?
a) Equi-join
b) Natural join
c) Outer join
d) Cartesian join
View Answer","Answer: d
Explanation: Cartesian Join is simply the joining of one or more table which returns the product of all the rows in these tables."
89,"10. Which is not a type of join in T-SQL?
a) Equi-join
b) Natural join
c) Outer join
d) Cartesian join
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: b
Explanation: A NATURAL JOIN is an inner join where the RDBMS automatically selects the join columns based on common columns names. Some RDBMS vendors, like Oracle but not SQL Server, implement a NATURAL JOIN operator."
90,"1. What is a view?
a) A view is a special stored procedure executed when certain event occurs
b) A view is a virtual table which results of executing a pre-compiled query
c) A view is a database diagram
d) None of the Mentioned
View Answer","Answer: b
Explanation: VIEW is a virtual table, through which a selective portion of the data from one or more tables can be seen. A view do not contain data of their own."
91,"2. Which of the following is not a limitation of view?
a) ORDER BY Does Not Work
b) Index Created on View Used Often
c) Cross Database Queries Not Allowed in Indexed View
d) Adding Column is Expensive by Joining Table Outside View
View Answer","Answer: b
Explanation: Views created on indexed Columns are often used because of performance optimization problems."
92,"3. Which of the following statement is true?
a) Views could be looked as an additional layer on the table which enables us to protect intricate or sensitive data based upon our needs
b) Views are virtual tables that are compiled at run time
c) Creating views can improve query response time
d) All of the Mentioned
View Answer","Answer: d
Explanation: Views are a valuable tool for the SQL Server Developer because they hide complexity and allow for a readable style of SQL expression."
93,"4. SQL Server has mainly how many types of views?
a) one
b) two
c) three
d) four
View Answer","Answer: b
Explanation: In SQL Server we have two types of views-System Defined Views and User Defined View."
94,"5. Dynamic Management View is a type of ___________
a) System Defined Views
b) User Defined View
c) Simple View
d) Complex View
View Answer","Answer: a
Explanation: Dynamic Management Views were introduced in SQL Server 2005. These Views give the administrator information of the database about the current state of the SQL Server machine."
95,"6. Syntax for creating views is __________
a) CREATE VIEW AS SELECT
b) CREATE VIEW AS UPDATE
c) DROP VIEW AS SELECT
d) CREATE VIEW AS UPDATE
View Answer","Answer: a
Explanation: SQL CREATE VIEW Syntax:CREATE VIEW view_name AS SELECT column_name(s) FROM table_name WHERE condition."
96,"7. You can delete a view with ___________ command.
a) DROP VIEW
b) DELETE VIEW
c) REMOVE VIEW
d) TRUNCATE VIEW
View Answer","Answer: a
Explanation: DROP VIEW removes one or more views from the current database."
97,"8. What is SCHEMABINDING a VIEW?
a) Schema binding binds your views to the dependent physical columns of the accessed tables specified in the contents of the view
b) These are stored only in the Master database
c) These types of view are defined by users on a specified schema
d) These are used to show database self describing information
View Answer","Answer: b
Explanation:  SCHEMABINDING binds the view to the schema of the underlying table or tables. When SCHEMABINDING is specified, the base table or tables cannot be modified in a way that would affect the view definition."
98,"9. Which of the following is not a SQL Server INFORMATION_SCHEMA view?
a) INFORMATION_SCHEMA.CONSTRAINT_TABLE_USAGE
b) INFORMATION_SCHEMA.DOMAIN_CONSTRAINTS
c) INFORMATION_SCHEMA.KEY_COLUMN_USAGE
d) sys.dm_exec_connections
View Answer","Answer: d
Explanation: The INFORMATION_SCHEMA views allow you to retrieve metadata about the objects within a database.  These views can be found in the master database under Views / System Views and be called from any database in your SQL Server instance."
99,"10. ___________ is  stored only in the Master database.
a) Database-scoped Dynamic Management View
b) Complex View
c) Catalog View
d) None of the mentioned
View AnswerSanfoundry Global Education & Learning Series – SQL Server.","Answer: d
Explanation: Server-scoped Dynamic Management View is stored only in the Master database."
100,"1. Aggregate functions are functions that take a ___________ as input and return a single value.
a) Collection of values
b) Single value
c) Double value
d) All of the mentioned
View Answer","Answer: a
Explanation: Aggregate functions perform a calculation on a set of values."
101,"2. SQL applies predicates in the _______ clause after groups have been formed, so aggregate functions may be used.
a) Group by
b) With
c) Where
d) Having
View Answer","Answer: b
Explanation: The with clause provides a way of defining a temporary relation whose definition is available only to the query in which the with clause occurs."
